horizon,n_estimators,max_depth,learning_rate,val_mae,val_rmse
5min,100,3,0.05,0.096015,0.297681
5min,100,3,0.1,0.09492,0.293329
5min,100,5,0.05,0.093502,0.289786
5min,100,5,0.1,0.093001,0.287607
5min,100,7,0.05,0.092034,0.285646
5min,100,7,0.1,0.091929,0.285429
5min,300,3,0.05,0.094405,0.291474
5min,300,3,0.1,0.094089,0.289162
5min,300,5,0.05,0.092558,0.286718
5min,300,5,0.1,0.092507,0.28627
5min,300,7,0.05,0.091588,0.28439
5min,300,7,0.1,0.091825,0.285413
5min,500,3,0.05,0.094119,0.289569
5min,500,3,0.1,0.093838,0.288218
5min,500,5,0.05,0.092317,0.286096
5min,500,5,0.1,0.092372,0.286053
5min,500,7,0.05,0.091553,0.284416
5min,500,7,0.1,0.091932,0.286525
15min,100,3,0.05,0.125052,0.379807
15min,100,3,0.1,0.124028,0.373875
15min,100,5,0.05,0.122004,0.3696
15min,100,5,0.1,0.120768,0.365055
15min,100,7,0.05,0.119295,0.362117
15min,100,7,0.1,0.119026,0.361274
15min,300,3,0.05,0.123257,0.371209
15min,300,3,0.1,0.122615,0.368228
15min,300,5,0.05,0.120118,0.363463
15min,300,5,0.1,0.119845,0.362407
15min,300,7,0.05,0.118507,0.360115
15min,300,7,0.1,0.118738,0.361398
15min,500,3,0.05,0.122721,0.368921
15min,500,3,0.1,0.122385,0.367044
15min,500,5,0.05,0.11965,0.362046
15min,500,5,0.1,0.119605,0.361899
15min,500,7,0.05,0.118458,0.360387
15min,500,7,0.1,0.118797,0.362389
30min,100,3,0.05,0.152864,0.443763
30min,100,3,0.1,0.15069,0.43676
30min,100,5,0.05,0.146914,0.430514
30min,100,5,0.1,0.14494,0.425201
30min,100,7,0.05,0.142491,0.420822
30min,100,7,0.1,0.141564,0.418477
30min,300,3,0.05,0.149401,0.432938
30min,300,3,0.1,0.148493,0.430224
30min,300,5,0.05,0.144109,0.423386
30min,300,5,0.1,0.143348,0.42148
30min,300,7,0.05,0.141104,0.417836
30min,300,7,0.1,0.14074,0.417219
30min,500,3,0.05,0.148582,0.430537
30min,500,3,0.1,0.147472,0.427897
30min,500,5,0.05,0.143335,0.421728
30min,500,5,0.1,0.142457,0.419649
30min,500,7,0.05,0.140766,0.417609
30min,500,7,0.1,0.140706,0.417883
