tmc,direction,n_train,n_test,mae_persistence,rmse_persistence,mae_loto_xgb,rmse_loto_xgb,mae_improvement_loto_xgb,rmse_improvement_loto_xgb
110-04163,EASTBOUND,4411960,52988,0.12987835839340856,0.4070240646966198,0.12728902670297557,0.3590241811011739,0.002589331690432989,0.04799988359544588
110-04164,EASTBOUND,4411949,52988,0.0828916990193163,0.2940134572539906,0.08435399320284648,0.30084143711483796,-0.00146229418353018,-0.006827979860847377
110-04165,EASTBOUND,4411976,52988,0.05882799859666647,0.18282671442609616,0.06585463408000929,0.28462182365391825,-0.0070266354833428135,-0.10179510922782209
110-04166,EASTBOUND,4411942,52988,0.1394021476373801,0.2733733583743332,0.14470499937695533,0.26751283539563137,-0.005302851739575232,0.005860522978701821
110-04167,EASTBOUND,4411936,52988,0.2948247950286852,0.6450528770595341,0.2945278433729674,0.6261973574453039,0.00029695165571780313,0.018855519614230154
110-04168,EASTBOUND,4411947,52988,0.23737506088089863,0.5723439719510258,0.22789970408893334,0.5486116207500727,0.00947535679196529,0.023732351200953072
110-04169,EASTBOUND,4411947,52988,0.22903823722458347,0.7022342910186435,0.21203854951588083,0.6247394817883902,0.016999687708702638,0.07749480923025331
110-04170,EASTBOUND,4411947,52988,0.16695448975823385,0.5276819463371886,0.14453472392308148,0.4390558358546443,0.022419765835152372,0.08862611048254426
110-04171,EASTBOUND,4411942,52988,0.1453468567916391,0.4420254571264075,0.12776563376773126,0.37098542060420425,0.017581223023907855,0.07104003652220325
110-04172,EASTBOUND,4411942,52967,0.10244080864740242,0.30742608785508174,0.09465162667590563,0.26244595527290177,0.007789181971496792,0.04498013258217998
110N04164,EASTBOUND,4411960,52988,0.14553217529860862,0.4553954627773115,0.13724545383028522,0.39054347908084325,0.008286721468323405,0.06485198369646827
110N04165,EASTBOUND,4411974,52988,0.07038916869257551,0.35143944184947684,0.06818344657754505,0.2704838041077864,0.0022057221150304646,0.08095563774169046
110N04166,EASTBOUND,4411951,52988,0.05625815470193362,0.1579014387798333,0.06412614457257522,0.1504547016084442,-0.0078679898706416,0.007446737171389078
110N04167,EASTBOUND,4411942,52988,0.30147929626559666,0.6495395701248835,0.31013323686614647,0.6410899078353186,-0.008653940600549803,0.008449662289564897
110N04168,EASTBOUND,4411942,52988,0.28847497616533463,0.6489735600326899,0.2868188555460975,0.6265638840115815,0.0016561206192371447,0.022409676021108438
110N04169,EASTBOUND,4411947,52988,0.26048493165137926,0.769012352197485,0.2506448872415628,0.7124390199922189,0.00984004440981645,0.05657333220526606
110N04170,EASTBOUND,4411947,52988,0.19027702827185583,0.5981779450053286,0.16693605908045137,0.5050096054565407,0.023340969191404465,0.09316833954878789
110N04171,EASTBOUND,4411942,52988,0.1514167034550786,0.4693906475895598,0.13170753339716346,0.39151262410900084,0.019709170057915143,0.07787802348055894
110N04172,EASTBOUND,4411942,52967,0.1366995157751137,0.40976693926024726,0.1218107534579702,0.3444046743312643,0.014888762317143492,0.06536226492898295
110N04173,EASTBOUND,4411942,52967,0.13956023816821367,0.3765774708217264,0.12634867402559605,0.31343736426418944,0.013211564142617621,0.06314010655753693
110+04164,WESTBOUND,4411953,52911,0.07371159142830455,0.20126642451185456,0.07412371291814858,0.23974433769353506,-0.00041212148984402786,-0.038477913181680506
110+04165,WESTBOUND,4411959,52911,0.09287428730926682,0.33088182319796877,0.0891381440896244,0.30693955029060865,0.0037361432196424266,0.023942272907360118
110+04166,WESTBOUND,4411953,52964,0.194072056961454,0.592144829649227,0.17225268057895282,0.5015525513724102,0.02181937638250117,0.09059227827681682
110+04167,WESTBOUND,4411947,52988,0.23348196926088424,0.5756436033838914,0.21710322108338911,0.5195845533384237,0.016378748177495128,0.05605905004546774
110+04168,WESTBOUND,4411942,52972,0.21455813212090835,0.7756509308125509,0.1986340678454495,0.6749869581304354,0.015924064275458838,0.10066397268211547
