horizon,model,test_mae,test_rmse
15min,Persistence,0.11365907498126417,0.3642178817202396
15min,XGBoost,0.11839125963273105,0.36454261952614486
15min,RandomForest,0.11859530631249182,0.36603805580051935
15min,LinearRegression,0.12872362815000396,0.387305071614025
30min,RandomForest,0.1432606964852287,0.4288849085211495
30min,XGBoost,0.14344296793668937,0.42711410867893057
30min,Persistence,0.1493371902939276,0.47748886511606786
30min,LinearRegression,0.16047649181191964,0.4637613357317496
5min,Persistence,0.0696053471708268,0.21453112369213742
5min,RandomForest,0.08992517692091043,0.2821014311356673
5min,XGBoost,0.09062211007827148,0.2866037543436061
5min,LinearRegression,0.0963410216986917,0.2965648135702285
