tmc,direction,split,horizon,model,row_count,mae,rmse
110+04164,WESTBOUND,validation,5min,Persistence,52110,0.047415382187828724,0.1092371720417802
110+04165,WESTBOUND,validation,5min,Persistence,52110,0.052157048401681894,0.1387766157681191
110+04166,WESTBOUND,validation,5min,Persistence,52110,0.07451382762429108,0.2151976248924862
110+04167,WESTBOUND,validation,5min,Persistence,52110,0.07985640889490028,0.18840848359421924
110+04168,WESTBOUND,validation,5min,Persistence,52110,0.07945252834570055,0.2775111870415912
110+04169,WESTBOUND,validation,5min,Persistence,52110,0.0803973655207181,0.1884472571493844
110+04170,WESTBOUND,validation,5min,Persistence,52110,0.06545283075644247,0.13543110186076168
110+04171,WESTBOUND,validation,5min,Persistence,52110,0.04588488108842039,0.10241130786871064
110+04172,WESTBOUND,validation,5min,Persistence,52110,0.042219757519943,0.08132807126354057
110+04173,WESTBOUND,validation,5min,Persistence,52110,0.028052100038715933,0.05711604717446527
110-04163,EASTBOUND,validation,5min,Persistence,52110,0.07559346016797923,0.22933825773417787
110-04164,EASTBOUND,validation,5min,Persistence,52110,0.050052858353190156,0.13410193012647353
110-04165,EASTBOUND,validation,5min,Persistence,52110,0.03288847044196543,0.07330448624397853
110-04166,EASTBOUND,validation,5min,Persistence,52110,0.06501792732821565,0.11950598268432364
110-04167,EASTBOUND,validation,5min,Persistence,52110,0.1392429703108847,0.31607682359359884
110-04168,EASTBOUND,validation,5min,Persistence,52110,0.09569512055508736,0.221403754181551
110-04169,EASTBOUND,validation,5min,Persistence,52110,0.11320784388562244,0.3556558123987612
110-04170,EASTBOUND,validation,5min,Persistence,52110,0.09096082115481842,0.33324594301853966
110-04171,EASTBOUND,validation,5min,Persistence,52110,0.0811551087144951,0.262621180308235
110-04172,EASTBOUND,validation,5min,Persistence,52110,0.05353492523098452,0.15273675010859827
110N04164,EASTBOUND,validation,5min,Persistence,52110,0.08569228810423692,0.28408536685152913
110N04165,EASTBOUND,validation,5min,Persistence,52110,0.039737600486646915,0.12284665923035805
110N04166,EASTBOUND,validation,5min,Persistence,52110,0.034822133651234106,0.08918225554120628
110N04167,EASTBOUND,validation,5min,Persistence,52110,0.13900230503602207,0.30784408490040316
110N04168,EASTBOUND,validation,5min,Persistence,52110,0.1343436307745232,0.3112686575609139
110N04169,EASTBOUND,validation,5min,Persistence,52110,0.12884445997579397,0.3832031131607842
110N04170,EASTBOUND,validation,5min,Persistence,52110,0.09732434491438685,0.3311209708742666
110N04171,EASTBOUND,validation,5min,Persistence,52110,0.08370764617764827,0.28702274927788574
110N04172,EASTBOUND,validation,5min,Persistence,52110,0.0757257273442749,0.23483399547252148
110N04173,EASTBOUND,validation,5min,Persistence,52110,0.07089512862496526,0.19279354211645128
110P04163,WESTBOUND,validation,5min,Persistence,52110,0.043211626049072215,0.0914654696145691
110P04164,WESTBOUND,validation,5min,Persistence,52110,0.055915387131611635,0.15521428262426823
110P04165,WESTBOUND,validation,5min,Persistence,52110,0.06294957637414966,0.2320487696176565
110P04166,WESTBOUND,validation,5min,Persistence,52110,0.10616023769117204,0.327881036586641
110P04167,WESTBOUND,validation,5min,Persistence,52110,0.06906701783814072,0.23178439720560284
110P04168,WESTBOUND,validation,5min,Persistence,52110,0.08366557254290069,0.2713634817731041
110P04169,WESTBOUND,validation,5min,Persistence,52110,0.09704882626118419,0.2137569721532587
110P04170,WESTBOUND,validation,5min,Persistence,52110,0.043884689230698666,0.10747447823881512
110P04171,WESTBOUND,validation,5min,Persistence,52110,0.04498156686463206,0.09028826885501615
110P04172,WESTBOUND,validation,5min,Persistence,52110,0.038947118552886024,0.0859185506351089
110P04173,WESTBOUND,validation,5min,Persistence,52089,0.029609627101662296,0.058580767031579245
110+04164,WESTBOUND,test,5min,Persistence,52911,0.04451626861560534,0.11263229730369885
110+04165,WESTBOUND,test,5min,Persistence,52911,0.04846097070851547,0.14050772570100292
110+04166,WESTBOUND,test,5min,Persistence,52964,0.07336615067317762,0.22024495165279415
110+04167,WESTBOUND,test,5min,Persistence,52988,0.08690652334200669,0.20935707151303104
110+04168,WESTBOUND,test,5min,Persistence,52972,0.07763441385460512,0.2729361124898303
110+04169,WESTBOUND,test,5min,Persistence,52972,0.07992852514932841,0.19151912851219022
110+04170,WESTBOUND,test,5min,Persistence,52972,0.06686798365721895,0.1366523786586839
110+04171,WESTBOUND,test,5min,Persistence,52972,0.04122152322709918,0.12619756928179884
110+04172,WESTBOUND,test,5min,Persistence,52988,0.03913031813337031,0.10276253973718012
110+04173,WESTBOUND,test,5min,Persistence,52988,0.02726198236918926,0.062371360183261275
110-04163,EASTBOUND,test,5min,Persistence,52988,0.06890349218038463,0.2339844359091927
110-04164,EASTBOUND,test,5min,Persistence,52988,0.04027363823942135,0.12393920172096343
110-04165,EASTBOUND,test,5min,Persistence,52988,0.03311027623852255,0.09171285102593463
110-04166,EASTBOUND,test,5min,Persistence,52988,0.06878923272318282,0.12565688911840514
110-04167,EASTBOUND,test,5min,Persistence,52988,0.14280876021430217,0.32380580356228494
110-04168,EASTBOUND,test,5min,Persistence,52988,0.09239083389383027,0.21788730842973417
110-04169,EASTBOUND,test,5min,Persistence,52988,0.10758571568071433,0.3363615555118919
110-04170,EASTBOUND,test,5min,Persistence,52988,0.08207188315269735,0.26339214238071346
110-04171,EASTBOUND,test,5min,Persistence,52988,0.07392082545889918,0.2189627611215389
110-04172,EASTBOUND,test,5min,Persistence,52967,0.049773467115392066,0.13669542329806111
110N04164,EASTBOUND,test,5min,Persistence,52988,0.07147069428051916,0.23105025471836604
110N04165,EASTBOUND,test,5min,Persistence,52988,0.03811488987614446,0.1841190956642413
110N04166,EASTBOUND,test,5min,Persistence,52988,0.033385758931320904,0.07318687809045694
110N04167,EASTBOUND,test,5min,Persistence,52988,0.14374733756457264,0.31643773854432156
110N04168,EASTBOUND,test,5min,Persistence,52988,0.13652609283719744,0.3178949894312284
110N04169,EASTBOUND,test,5min,Persistence,52988,0.12329640243592242,0.371707000637694
110N04170,EASTBOUND,test,5min,Persistence,52988,0.09028434590576039,0.2881855900205151
110N04171,EASTBOUND,test,5min,Persistence,52988,0.07606740189474169,0.23454210076649598
110N04172,EASTBOUND,test,5min,Persistence,52967,0.06915905980249909,0.19741425698702317
110N04173,EASTBOUND,test,5min,Persistence,52967,0.0690265957311917,0.18140510035770066
110P04163,WESTBOUND,test,5min,Persistence,52900,0.04299331616218266,0.20068609885338254
110P04164,WESTBOUND,test,5min,Persistence,52911,0.048680598778996886,0.10968898507937705
110P04165,WESTBOUND,test,5min,Persistence,52964,0.055736715862834615,0.23288849412117682
110P04166,WESTBOUND,test,5min,Persistence,52964,0.10886093686133,0.3412487964431697
110P04167,WESTBOUND,test,5min,Persistence,52972,0.07404526686685793,0.2524936273686742
