year,split,horizon,model,row_count,mae,rmse
2024.0,validation,5min,Persistence,2214,0.03218126588669585,0.04336640056475928
2025.0,validation,5min,Persistence,2134275,0.07219525329600968,0.21859696516454524
2025.0,test,5min,Persistence,2171910,0.0696053471708268,0.21453112369213742
2024.0,validation,5min,LinearRegression,2214,0.04515359660998882,0.05846161137109509
2025.0,validation,5min,LinearRegression,2134275,0.09942893296305662,0.30211016218066383
2025.0,test,5min,LinearRegression,2171910,0.0963410216986917,0.2965648135702285
2024.0,validation,5min,RandomForest,2214,0.03971703160429571,0.05203394552186274
2025.0,validation,5min,RandomForest,2134275,0.09314616117618314,0.2876276597691088
2025.0,test,5min,RandomForest,2171910,0.08992517692091041,0.2821014311356673
2024.0,validation,5min,XGBoost,2214,0.040712360904525825,0.053353580761534236
2025.0,validation,5min,XGBoost,2134275,0.09371262523109491,0.28865359807664664
2025.0,test,5min,XGBoost,2171910,0.09062211007827148,0.2866037543436061
2024.0,validation,15min,Persistence,2214,0.052898099500012,0.06832691142326948
2025.0,validation,15min,Persistence,2134275,0.11834919622493995,0.37225992163198574
2025.0,test,15min,Persistence,2171910,0.11365907498126417,0.3642178817202396
2024.0,validation,15min,LinearRegression,2214,0.053373576143379196,0.0667995422672994
2025.0,validation,15min,LinearRegression,2134275,0.13235609174861143,0.39427555772058726
2025.0,test,15min,LinearRegression,2171910,0.12872362815000396,0.387305071614025
2024.0,validation,15min,RandomForest,2214,0.043493258445275206,0.05582458042867813
2025.0,validation,15min,RandomForest,2134275,0.12257725193215714,0.3709938543235468
2025.0,test,15min,RandomForest,2171910,0.11859530631249182,0.3660380558005193
2024.0,validation,15min,XGBoost,2214,0.046530774595196264,0.05994740988367013
2025.0,validation,15min,XGBoost,2134275,0.1227999953780387,0.3708856995444161
2025.0,test,15min,XGBoost,2171910,0.11839125963273105,0.36454261952614486
2024.0,validation,30min,Persistence,2214,0.052016486689956155,0.0670619775805389
2025.0,validation,30min,Persistence,2134275,0.15622930043921995,0.4899428097256242
2025.0,test,30min,Persistence,2171910,0.14933719029392759,0.47748886511606786
2024.0,validation,30min,LinearRegression,2214,0.05858237006474384,0.07087799832518626
2025.0,validation,30min,LinearRegression,2134275,0.16403795357384854,0.47126137344101776
2025.0,test,30min,LinearRegression,2171910,0.1604764918119196,0.4637613357317496
2024.0,validation,30min,RandomForest,2214,0.045287360165673404,0.05718672093581004
2025.0,validation,30min,RandomForest,2134275,0.14749932645385666,0.4328588916218891
2025.0,test,30min,RandomForest,2171910,0.1432606964852287,0.4288849085211495
2024.0,validation,30min,XGBoost,2214,0.048616277530274254,0.06084436169533921
2025.0,validation,30min,XGBoost,2134275,0.14846094559595474,0.43320943352980545
2025.0,test,30min,XGBoost,2171910,0.1434429679366894,0.42711410867893057
