tmc,direction,tti_volatility,test_rows,mae_persistence,rmse_persistence,mae_pooled_xgb,rmse_pooled_xgb,mae_improvement_pooled_xgb,rmse_improvement_pooled_xgb
110+04164,WESTBOUND,0.65727415214362,52911.0,0.07371159142830455,0.20126642451185456,0.06884349166295015,0.24225828561861115,0.004868099765354406,-0.040991861106756594
110+04165,WESTBOUND,0.2630982152571962,52911.0,0.09287428730926682,0.33088182319796877,0.08056019159675351,0.2933402205093519,0.01231409571251331,0.03754160268861689
110+04166,WESTBOUND,0.46583249529246606,52964.0,0.194072056961454,0.592144829649227,0.1648420933476157,0.47310965694201124,0.029229963613838283,0.11903517270721575
110+04167,WESTBOUND,0.3892306005044073,52988.0,0.23348196926088424,0.5756436033838914,0.2069086222541348,0.5017533639903489,0.02657334700674943,0.07389023939354256
110+04168,WESTBOUND,0.6158291599175917,52972.0,0.21455813212090835,0.7756509308125509,0.1925573524141287,0.6327106210084646,0.02200077970677966,0.14294030980408623
110+04169,WESTBOUND,0.5535658652920937,52972.0,0.22321472525878522,0.5607049482886048,0.20319302913041867,0.4784480719413375,0.020021696128366545,0.08225687634726736
110+04170,WESTBOUND,0.33841198582767645,52972.0,0.1393873474349827,0.31756079015087346,0.12472518265391913,0.28164009284951436,0.01466216478106358,0.035920697301359106
110+04171,WESTBOUND,0.2066933357973385,52972.0,0.06980741897862498,0.20412657318774952,0.06356374366982111,0.16580655323159588,0.0062436753088038754,0.03832001995615364
110+04172,WESTBOUND,0.16731231705938293,52988.0,0.0630581564342529,0.1712631297342643,0.059231320297895816,0.1440571089196441,0.0038268361363570855,0.027206020814620202
110+04173,WESTBOUND,0.12950810591476744,52988.0,0.04431692175090391,0.15431029194605847,0.04175085601954373,0.12378257108397012,0.00256606573136018,0.030527720862088353
110-04163,EASTBOUND,0.642618334845006,52988.0,0.12987835839340856,0.4070240646966198,0.11910210669259781,0.3420237128250261,0.010776251700810743,0.0650003518715937
110-04164,EASTBOUND,0.4191328417988113,52988.0,0.0828916990193163,0.2940134572539906,0.08182690523756557,0.3207185908945534,0.001064793781750728,-0.026705133640562817
110-04165,EASTBOUND,0.23804406915135687,52988.0,0.05882799859666647,0.18282671442609616,0.05937487223775318,0.2470922878264384,-0.0005468736410867078,-0.06426557340034225
110-04166,EASTBOUND,0.34708574924089575,52988.0,0.1394021476373801,0.2733733583743332,0.1332654131941857,0.2492431003087385,0.006136734443194403,0.024130258065594684
110-04167,EASTBOUND,0.7680420415799454,52988.0,0.2948247950286852,0.6450528770595341,0.2730594824064958,0.564322953163425,0.021765312622189392,0.08072992389610911
110-04168,EASTBOUND,0.6770758116254858,52988.0,0.23737506088089863,0.5723439719510258,0.21221419108815492,0.4936670971238815,0.025160869792743706,0.0786768748271443
110-04169,EASTBOUND,0.7090267090654748,52988.0,0.22903823722458347,0.7022342910186435,0.20789582507378454,0.5849764041030908,0.021142412150798928,0.11725788691555272
110-04170,EASTBOUND,0.4911308863813045,52988.0,0.16695448975823385,0.5276819463371886,0.14196591163114222,0.4221696033979716,0.024988578127091626,0.10551234293921696
110-04171,EASTBOUND,0.3978492937603827,52988.0,0.1453468567916391,0.4420254571264075,0.12393290621819897,0.360450829905767,0.021413950573440144,0.08157462722064052
110-04172,EASTBOUND,0.27372229842381207,52967.0,0.10244080864740242,0.30742608785508174,0.09130455632885143,0.2557455750979461,0.01113625231855099,0.051680512757135644
110N04164,EASTBOUND,0.585142854638254,52988.0,0.14553217529860862,0.4553954627773115,0.14160415232414808,0.3832435663234217,0.003928022974460543,0.07215189645388981
110N04165,EASTBOUND,0.2698353517568607,52988.0,0.07038916869257551,0.35143944184947684,0.06234235671770347,0.2651149380154264,0.008046811974872045,0.08632450383405044
110N04166,EASTBOUND,0.27386030149155194,52988.0,0.05625815470193362,0.1579014387798333,0.056011001502647685,0.14484489003612705,0.00024715319928593493,0.013056548743706237
110N04167,EASTBOUND,0.7926317660579756,52988.0,0.30147929626559666,0.6495395701248835,0.2796364715541914,0.5632627125615535,0.02184282471140525,0.08627685756333003
110N04168,EASTBOUND,0.7535967308753823,52988.0,0.28847497616533463,0.6489735600326899,0.261046910191237,0.5524734870155303,0.027428065974097637,0.09650007301715957
110N04169,EASTBOUND,0.8258441225082377,52988.0,0.26048493165137926,0.769012352197485,0.23567639454000797,0.6342292473316896,0.024808537111371293,0.13478310486579537
110N04170,EASTBOUND,0.5804337018390964,52988.0,0.19027702827185583,0.5981779450053286,0.1636635422416156,0.474768936966424,0.02661348603024022,0.12340900803890459
110N04171,EASTBOUND,0.42932038856825727,52988.0,0.1514167034550786,0.4693906475895598,0.12840991096490942,0.3794501317103826,0.02300679249016918,0.08994051587917717
110N04172,EASTBOUND,0.3667283930329571,52967.0,0.1366995157751137,0.40976693926024726,0.11659765518762923,0.3342631150999201,0.020101860587484463,0.07550382416032714
110N04173,EASTBOUND,0.3203342894133037,52967.0,0.13956023816821367,0.3765774708217264,0.11908679253936216,0.30577032811581256,0.020473445628851505,0.07080714270591382
110P04163,WESTBOUND,0.66714459733525,52900.0,0.07600510579859038,0.2822347639943098,0.07077581474456796,0.22416893976522959,0.0052292910540224224,0.058065824229080215
110P04164,WESTBOUND,0.23098387489560612,52911.0,0.08377181087147567,0.22609696459466871,0.07708168602809436,0.19163026906189448,0.006690124843381315,0.03446669553277423
110P04165,WESTBOUND,0.4721733266334936,52964.0,0.1149181236668561,0.49632360516959,0.10048164933512291,0.3958400675560187,0.014436474331733187,0.10048353761357132
110P04166,WESTBOUND,0.6097858999397281,52964.0,0.30329369767205655,0.8551024919841252,0.26141955093196345,0.6989317562496214,0.0418741467400931,0.1561707357345038
110P04167,WESTBOUND,0.4510232621900277,52972.0,0.18954136118939086,0.6861865881946704,0.17969285110602545,0.6147737698087926,0.009848510083365403,0.07141281838587776
110P04168,WESTBOUND,0.5750334068102066,52972.0,0.21004700001581172,0.7306962626185542,0.1830770199467784,0.608915163280182,0.02696998006903331,0.12178109933837222
110P04169,WESTBOUND,0.40866161580396393,52972.0,0.21912711302013316,0.5616077906632071,0.19716416943026724,0.4909253000385412,0.02196294358986592,0.07068249062466592
110P04170,WESTBOUND,0.2495158788813509,52972.0,0.07174372696815737,0.1938596194499102,0.06173362468089051,0.15659245255999252,0.010010102287266856,0.037267166889917686
110P04171,WESTBOUND,0.18167260651634115,52972.0,0.06786342973850254,0.2005164141951963,0.058859941404707676,0.16081363450055255,0.009003488333794864,0.03970277969464375
110P04172,WESTBOUND,0.1900128723269987,52988.0,0.057938229901351,0.1547732442742374,0.05277855815599702,0.12828199082353084,0.0051596717453539845,0.026491253450706548
110P04173,WESTBOUND,0.18248608132339794,52988.0,0.052196377235379905,0.17237768228098652,0.04545315112695209,0.13882690230071026,0.006743226108427813,0.03355077998027625
