,tti,target_tti_5min_ahead,target_tti_15min_ahead,target_tti_30min_ahead,tti_lag_1,tti_lag_3,tti_lag_6,tti_lag_12,volatility_30min,tti_change_1_step,tti_absolute_change_1_step
tti,1.0,0.928,0.791,0.643,0.928,0.791,0.643,0.449,0.563,0.197,0.553
target_tti_5min_ahead,0.928,1.0,0.852,0.686,0.853,0.737,0.604,0.421,0.521,0.161,0.501
target_tti_15min_ahead,0.791,0.852,1.0,0.791,0.737,0.643,0.535,0.371,0.454,0.131,0.433
target_tti_30min_ahead,0.643,0.686,0.791,1.0,0.603,0.535,0.448,0.306,0.378,0.093,0.359
tti_lag_1,0.928,0.853,0.737,0.603,1.0,0.853,0.687,0.477,0.608,0.191,0.598
tti_lag_3,0.791,0.737,0.643,0.535,0.853,1.0,0.791,0.536,0.639,-0.197,0.556
tti_lag_6,0.643,0.604,0.535,0.448,0.687,0.791,1.0,0.643,0.652,-0.131,0.431
tti_lag_12,0.449,0.421,0.371,0.306,0.477,0.536,0.643,1.0,0.628,-0.077,0.291
volatility_30min,0.563,0.521,0.454,0.378,0.608,0.639,0.652,0.628,1.0,-0.055,0.513
tti_change_1_step,0.197,0.161,0.131,0.093,0.191,-0.197,-0.131,-0.077,-0.055,1.0,0.006
tti_absolute_change_1_step,0.553,0.501,0.433,0.359,0.598,0.556,0.431,0.291,0.513,0.006,1.0
