hour_of_day,direction,tti
0.0,EASTBOUND,1.024578811783108
0.0,WESTBOUND,1.0146957450383323
1.0,EASTBOUND,1.0425216236325037
1.0,WESTBOUND,1.0296494023240172
2.0,EASTBOUND,1.0545194590272045
2.0,WESTBOUND,1.0330958904572973
3.0,EASTBOUND,1.031322325742413
3.0,WESTBOUND,1.0325878696655497
4.0,EASTBOUND,0.9835650391666287
4.0,WESTBOUND,1.007551175388041
5.0,EASTBOUND,0.9616656611036913
5.0,WESTBOUND,0.9834216982850897
6.0,EASTBOUND,0.9631492601513948
6.0,WESTBOUND,0.983455540647235
7.0,EASTBOUND,0.9847092752274913
7.0,WESTBOUND,1.1180316992838788
8.0,EASTBOUND,1.0718745454724543
8.0,WESTBOUND,1.352834721623163
9.0,EASTBOUND,1.0706599225422375
9.0,WESTBOUND,1.0730652908705864
10.0,EASTBOUND,1.117775407771524
10.0,WESTBOUND,1.014170663863294
11.0,EASTBOUND,1.0358267714742617
11.0,WESTBOUND,1.0261071685375276
12.0,EASTBOUND,1.044805545129867
12.0,WESTBOUND,1.0495501655498505
13.0,EASTBOUND,1.0498317402679254
13.0,WESTBOUND,1.1182382463937242
14.0,EASTBOUND,1.1216815441144992
14.0,WESTBOUND,1.2951384673724666
15.0,EASTBOUND,1.3862039303375164
15.0,WESTBOUND,1.1106168308448536
16.0,EASTBOUND,1.6614266966641869
16.0,WESTBOUND,1.057610810002778
17.0,EASTBOUND,1.9642267710980728
17.0,WESTBOUND,1.066050979078471
18.0,EASTBOUND,1.6180682047057247
18.0,WESTBOUND,1.0254226924133167
19.0,EASTBOUND,1.0705683977337872
19.0,WESTBOUND,1.0707667350754109
20.0,EASTBOUND,1.0069375947914436
20.0,WESTBOUND,1.0214873098956738
21.0,EASTBOUND,1.0175667636627848
21.0,WESTBOUND,1.0376467553043716
22.0,EASTBOUND,1.0159981337960906
22.0,WESTBOUND,1.0668987053611783
23.0,EASTBOUND,1.0144779367583479
23.0,WESTBOUND,1.0270726275155893
